scenario,vintage,scope,year,value,unit,source
NZE,WEO2025,Global Oil (A.4),2022,11559,Mt CO2,reported
NZE,WEO2025,Global Gas (A.4),2022,10700,Mt CO2,reported
NZE,WEO2025,Global O&G (A.4),2022,22259,Mt CO2,reported
NZE,WEO2025,Global Oil (A.4),2023,12056,Mt CO2,reported
NZE,WEO2025,Global Gas (A.4),2023,10864,Mt CO2,reported
NZE,WEO2025,Global O&G (A.4),2023,22920,Mt CO2,reported
NZE,WEO2025,Global Oil (A.4),2024,12124,Mt CO2,reported
NZE,WEO2025,Global Gas (A.4),2024,11113,Mt CO2,reported
NZE,WEO2025,Global O&G (A.4),2024,23237,Mt CO2,reported
NZE,WEO2025,Global Oil (A.4),2025,11633.36364,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2025,10608.09091,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2025,22241.45455,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2026,11142.72727,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2026,10103.18182,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2026,21245.90909,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2027,10652.09091,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2027,9598.272727,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2027,20250.36364,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2028,10161.45455,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2028,9093.363636,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2028,19254.81818,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2029,9670.818182,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2029,8588.454545,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2029,18259.27273,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2030,9180.181818,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2030,8083.545455,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2030,17263.72727,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2031,8689.55,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2031,7578.636364,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2031,16268.18182,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2032,8198.91,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2032,7073.727273,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2032,15272.63636,Mt CO2,interp_fuente
